Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Jan 27 2017,7:30 pm,Charlotte Hornets,,New York Knicks,,,,
Fri Jan 27 2017,7:00 pm,Houston Rockets,,Philadelphia 76ers,,,,
Fri Jan 27 2017,10:00 pm,Memphis Grizzlies,,Portland Trail Blazers,,,,
Fri Jan 27 2017,7:30 pm,Milwaukee Bucks,,Toronto Raptors,,,,
Sat Jan 28 2017,7:00 pm,Sacramento Kings,,Charlotte Hornets,,,,
Sat Jan 28 2017,8:30 pm,Los Angeles Clippers,,Golden State Warriors,,,,
Sat Jan 28 2017,7:30 pm,Detroit Pistons,,Miami Heat,,,,
Sat Jan 28 2017,8:00 pm,Boston Celtics,,Milwaukee Bucks,,,,
Sat Jan 28 2017,9:00 pm,Brooklyn Nets,,Minnesota Timberwolves,,,,
Sat Jan 28 2017,9:00 pm,Denver Nuggets,,Phoenix Suns,,,,
Sat Jan 28 2017,9:00 pm,Memphis Grizzlies,,Utah Jazz,,,,
Sun Jan 29 2017,3:00 pm,New York Knicks,,Atlanta Hawks,,,,
Sun Jan 29 2017,7:00 pm,Philadelphia 76ers,,Chicago Bulls,,,,
Sun Jan 29 2017,3:30 pm,Oklahoma City Thunder,,Cleveland Cavaliers,,,,
Sun Jan 29 2017,6:00 pm,Houston Rockets,,Indiana Pacers,,,,
Sun Jan 29 2017,6:00 pm,Washington Wizards,,New Orleans Pelicans,,,,
Sun Jan 29 2017,9:00 pm,Golden State Warriors,,Portland Trail Blazers,,,,
Sun Jan 29 2017,7:00 pm,Dallas Mavericks,,San Antonio Spurs,,,,
Sun Jan 29 2017,6:00 pm,Orlando Magic,,Toronto Raptors,,,,
Mon Jan 30 2017,8:00 pm,Detroit Pistons,,Boston Celtics,,,,
Mon Jan 30 2017,8:30 pm,Cleveland Cavaliers,,Dallas Mavericks,,,,
Mon Jan 30 2017,7:30 pm,Brooklyn Nets,,Miami Heat,,,,
Mon Jan 30 2017,8:00 pm,Orlando Magic,,Minnesota Timberwolves,,,,
Mon Jan 30 2017,6:00 pm,Sacramento Kings,,Philadelphia 76ers,,,,
Mon Jan 30 2017,10:30 pm,Memphis Grizzlies,,Phoenix Suns,,,,
Tue Jan 31 2017,8:00 pm,Sacramento Kings,,Houston Rockets,,,,
Tue Jan 31 2017,10:30 pm,Denver Nuggets,,Los Angeles Lakers,,,,
Tue Jan 31 2017,10:00 pm,Charlotte Hornets,,Portland Trail Blazers,,,,
Tue Jan 31 2017,8:30 pm,Oklahoma City Thunder,,San Antonio Spurs,,,,
Tue Jan 31 2017,7:30 pm,New Orleans Pelicans,,Toronto Raptors,,,,
Tue Jan 31 2017,7:00 pm,New York Knicks,,Washington Wizards,,,,
